twotheta, yobs, ycal, bkg, diff
1.257000e+001,5.010000e+002,5.076672e+002,5.067824e+002,-6.667159e+000
1.258000e+001,4.920000e+002,5.073266e+002,5.064406e+002,-1.532660e+001
1.259000e+001,5.100000e+002,5.069863e+002,5.060990e+002,3.013696e+000
1.260000e+001,5.420000e+002,5.066463e+002,5.057576e+002,3.535372e+001
1.261000e+001,5.370000e+002,5.063065e+002,5.054166e+002,3.069349e+001
1.262000e+001,4.860000e+002,5.059670e+002,5.050758e+002,-1.996701e+001
1.263000e+001,5.080000e+002,5.056278e+002,5.047352e+002,2.372218e+000
1.264000e+001,4.960000e+002,5.052888e+002,5.043949e+002,-9.288815e+000
1.265000e+001,4.970000e+002,5.049501e+002,5.040549e+002,-7.950113e+000
1.266000e+001,5.200000e+002,5.046117e+002,5.037152e+002,1.538832e+001
1.267000e+001,5.010000e+002,5.042735e+002,5.033757e+002,-3.273503e+000
1.268000e+001,5.190000e+002,5.039356e+002,5.030364e+002,1.506441e+001
1.269000e+001,5.260000e+002,5.035980e+002,5.026974e+002,2.240205e+001
1.270000e+001,4.880000e+002,5.032606e+002,5.023587e+002,-1.526057e+001
1.271000e+001,4.890000e+002,5.029235e+002,5.020203e+002,-1.392346e+001
1.272000e+001,4.870000e+002,5.025866e+002,5.016821e+002,-1.558661e+001
1.273000e+001,4.730000e+002,5.022500e+002,5.013441e+002,-2.925002e+001
1.274000e+001,4.870000e+002,5.019137e+002,5.010065e+002,-1.491369e+001
1.275000e+001,4.810000e+002,5.015776e+002,5.006691e+002,-2.057763e+001
1.276000e+001,5.050000e+002,5.012418e+002,5.003319e+002,3.758163e+000
1.277000e+001,4.980000e+002,5.009063e+002,4.999950e+002,-2.906304e+000
1.278000e+001,5.190000e+002,5.005710e+002,4.996584e+002,1.842897e+001
1.279000e+001,4.950000e+002,5.002360e+002,4.993220e+002,-5.236027e+000
1.280000e+001,5.030000e+002,4.999013e+002,4.989859e+002,3.098718e+000
1.281000e+001,4.980000e+002,4.995668e+002,4.986501e+002,-1.566801e+000
1.282000e+001,5.420000e+002,4.992326e+002,4.983145e+002,4.276742e+001
1.283000e+001,5.220000e+002,4.988986e+002,4.979791e+002,2.310137e+001
1.284000e+001,4.870000e+002,4.985649e+002,4.976441e+002,-1.156493e+001
1.285000e+001,4.920000e+002,4.982315e+002,4.973092e+002,-6.231499e+000
1.286000e+001,5.130000e+002,4.978983e+002,4.969747e+002,1.510167e+001
1.287000e+001,5.270000e+002,4.975654e+002,4.966404e+002,2.943458e+001
1.288000e+001,5.100000e+002,4.972328e+002,4.963063e+002,1.276723e+001
1.289000e+001,4.980000e+002,4.969004e+002,4.959726e+002,1.099612e+000
1.290000e+001,5.020000e+002,4.965683e+002,4.956390e+002,5.431735e+000
1.291000e+001,4.960000e+002,4.962364e+002,4.953058e+002,-2.364025e-001
1.292000e+001,4.980000e+002,4.959048e+002,4.949728e+002,2.095199e+000
1.293000e+001,4.620000e+002,4.955735e+002,4.946400e+002,-3.357346e+001
1.294000e+001,4.750000e+002,4.952424e+002,4.943075e+002,-2.024238e+001
1.295000e+001,4.920000e+002,4.949116e+002,4.939753e+002,-2.911563e+000
1.296000e+001,4.350000e+002,4.945810e+002,4.936433e+002,-5.958101e+001
1.297000e+001,5.130000e+002,4.942507e+002,4.933116e+002,1.874929e+001
1.298000e+001,4.810000e+002,4.939207e+002,4.929801e+002,-1.292067e+001
1.299000e+001,5.110000e+002,4.935909e+002,4.926489e+002,1.740911e+001
1.300000e+001,5.010000e+002,4.932614e+002,4.923180e+002,7.738624e+000
1.301000e+001,5.210000e+002,4.929321e+002,4.919873e+002,2.806788e+001
1.302000e+001,4.950000e+002,4.926031e+002,4.916568e+002,2.396879e+000
1.303000e+001,5.170000e+002,4.922744e+002,4.913267e+002,2.472562e+001
1.304000e+001,5.050000e+002,4.919459e+002,4.909967e+002,1.305410e+001
1.305000e+001,4.940000e+002,4.916177e+002,4.906671e+002,2.382315e+000
1.306000e+001,4.700000e+002,4.912897e+002,4.903377e+002,-2.128973e+001
1.307000e+001,5.260000e+002,4.909620e+002,4.900085e+002,3.503798e+001
1.308000e+001,5.170000e+002,4.906346e+002,4.896796e+002,2.636542e+001
1.309000e+001,5.050000e+002,4.903074e+002,4.893509e+002,1.469260e+001
1.310000e+001,4.930000e+002,4.899805e+002,4.890226e+002,3.019526e+000
1.311000e+001,5.110000e+002,4.896538e+002,4.886944e+002,2.134619e+001
1.312000e+001,4.990000e+002,4.893274e+002,4.883665e+002,9.672601e+000
1.313000e+001,5.170000e+002,4.890012e+002,4.880389e+002,2.799875e+001
1.314000e+001,4.970000e+002,4.886754e+002,4.877115e+002,8.324643e+000
1.315000e+001,4.950000e+002,4.883497e+002,4.873844e+002,6.650277e+000
1.316000e+001,4.700000e+002,4.880243e+002,4.870576e+002,-1.802435e+001
1.317000e+001,4.800000e+002,4.876992e+002,4.867309e+002,-7.699228e+000
1.318000e+001,4.840000e+002,4.873744e+002,4.864046e+002,-3.374367e+000
1.319000e+001,5.110000e+002,4.870498e+002,4.860785e+002,2.395024e+001
1.320000e+001,4.480000e+002,4.867254e+002,4.857526e+002,-3.872542e+001
1.321000e+001,5.040000e+002,4.864013e+002,4.854270e+002,1.759867e+001
1.322000e+001,4.890000e+002,4.860775e+002,4.851017e+002,2.922507e+000
1.323000e+001,4.840000e+002,4.857539e+002,4.847766e+002,-1.753917e+000
1.324000e+001,4.750000e+002,4.854306e+002,4.844518e+002,-1.043060e+001
1.325000e+001,4.930000e+002,4.851075e+002,4.841272e+002,7.892465e+000
1.326000e+001,4.770000e+002,4.847847e+002,4.838029e+002,-7.784728e+000
1.327000e+001,4.910000e+002,4.844622e+002,4.834788e+002,6.537823e+000
1.328000e+001,4.560000e+002,4.841399e+002,4.831549e+002,-2.813988e+001
1.329000e+001,5.050000e+002,4.838178e+002,4.828314e+002,2.118216e+001
1.330000e+001,4.930000e+002,4.834961e+002,4.825080e+002,9.503939e+000
1.331000e+001,5.140000e+002,4.831745e+002,4.821850e+002,3.082547e+001
1.332000e+001,4.590000e+002,4.828533e+002,4.818622e+002,-2.385326e+001
1.333000e+001,4.950000e+002,4.825322e+002,4.815396e+002,1.246775e+001
1.334000e+001,4.740000e+002,4.822115e+002,4.812173e+002,-8.211485e+000
1.335000e+001,5.060000e+002,4.818910e+002,4.808952e+002,2.410902e+001
1.336000e+001,4.690000e+002,4.815707e+002,4.805734e+002,-1.257073e+001
1.337000e+001,4.930000e+002,4.812507e+002,4.802518e+002,1.174927e+001
1.338000e+001,4.920000e+002,4.809310e+002,4.799305e+002,1.106901e+001
1.339000e+001,4.850000e+002,4.806115e+002,4.796095e+002,4.388498e+000
1.340000e+001,4.820000e+002,4.802923e+002,4.792887e+002,1.707731e+000
1.341000e+001,4.600000e+002,4.799733e+002,4.789681e+002,-1.997329e+001
